6804,ホシデン(株),
6806,ヒロセ電機(株),
6807,日本航空電子工業(株),
6809,TOA(株),
6815,ユニデン(株),
6816,アルパイン(株),
6817,スミダコーポレーション(株),
6820,アイコム(株),
6823,リオン(株),
6839,船井電機(株),
6841,横河電機(株),
6844,新電元工業(株),
6845,アズビル(株),
6849,日本光電,
6850,(株)チノー,
6853,(株)共和電業,
6855,日本電子材料(株),
6856,(株)堀場製作所,
6857,(株)アドバンテスト,
6858,(株)小野測器,
6859,エスペック(株),
6860,パナソニック　デバイスSUNX(株),
6861,(株)キーエンス,
6866,HIOKI(株),
6869,シスメックス(株),
6875,(株)メガチップス,
6877,OBARA　GROUP(株),
6883,日本電産コパル電子(株),
6885,ミヤチテクノス(株),
6900,東京電波(株),
6901,澤藤電機(株),
6902,(株)デンソー,
6905,コーセル(株),
6910,(株)日立メディコ,
6911,新日本無線(株),
6914,オプテックス(株),
6915,千代田インテグレ(株),
6921,東光電気(株),
6923,スタンレー電気(株),
6924,岩崎電気(株),
6925,ウシオ電機(株),
6926,岡谷電機産業(株),
6927,ヘリオス　テクノ　ホールディング(株),
6929,日本セラミック(株),
6935,(株)日本デジタル研究所,
6937,古河電池(株),
6938,双信電機(株),
6941,山一電機(株),
6947,(株)図研,
6951,日本電子(株),
6952,カシオ計算機(株),
6954,ファナック(株),
6958,日本CMK(株),
6961,(株)エンプラス,
6963,ローム(株),
6965,浜松ホトニクス(株),
6966,(株)三井ハイテック,
6967,新光電気工業(株),
6971,京セラ(株),
6973,協栄産業(株),
6976,太陽誘電(株),
6981,(株)村田製作所,
6985,(株)ユーシン,
6986,双葉電子工業(株),
6988,日東電工(株),
6989,北陸電気工業(株),
6995,(株)東海理化,
6996,ニチコン(株),
6997,日本ケミコン(株),
6999,KOA(株),
7003,三井造船(株),
7004,日立造船(株),
7007,佐世保重工業(株),
7011,三菱重工業(株),
7012,川崎重工業(株),
7013,(株)IHI,
7102,日本車輌製造(株),
7105,ニチユ(株),
7122,近畿車輛(株),
7150,(株)島根銀行,
7201,日産自動車(株),
7202,いすゞ自動車(株),
7203,トヨタ自動車(株),
7205,日野自動車(株),
7211,三菱自動車(株),
7212,(株)エフテック,
7220,武蔵精密工業(株),
7222,日産車体(株),
7224,新明和工業(株),
7226,極東開発工業(株),
7230,日信工業(株),
7231,トピー工業(株),
7236,(株)ティラド,
7238,曙ブレーキ工業(株),
7239,(株)タチエス,
7240,NOK(株),
7241,フタバ産業(株),
7242,KYB,
7243,シロキ工業(株),
7244,市光工業(株),
7245,大同メタル工業(株),
7246,プレス工業(株),
7248,カルソニックカンセイ(株),
7250,太平洋工業(株),
7251,(株)ケーヒン,
7256,河西工業(株),
7259,アイシン精機(株),
7260,富士機工(株),
7261,マツダ(株),
7262,ダイハツ工業(株),
7266,(株)今仙電機製作所,
7267,ホンダ,
7269,スズキ(株),
7270,富士重工業(株),
7272,ヤマハ発動機(株),
7274,(株)ショーワ,
7276,(株)小糸製作所,
7277,(株)TBK,
7278,(株)エクセディ,
7280,(株)ミツバ,
7282,豊田合成(株),
